Domain,ADNS,Web,Mail
massasoit.edu,"['a1-104.akam.net', 'a10-66.akam.net', 'a14-64.akam.net', 'a24-64.akam.net', 'a11-66.akam.net', 'a3-64.akam.net']",[''],"['alt4.aspmx.l.google.com', 'aspmx.l.google.com', 'alt3.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com']"
mayvillestate.edu,"['ns2.ext.ndus.edu', 'ns1.ndus.edu', 'ns4.az.ndus.edu', 'ns1.ext.ndus.edu', 'ns2.ndus.edu']",['mayvillestate.edu'],['mayvillestate-edu.mail.protection.outlook.com']
mckendree.edu,"['anton.ns.cloudflare.com', 'malavika.ns.cloudflare.com']",[''],['mckendree-edu.mail.protection.outlook.com']
mkgacademy.edu,[''],[''],[]
modelcollegeofhairdesign.com,"['dns3.name-services.com', 'dns4.name-services.com', 'dns5.name-services.com', 'dns2.name-services.com', 'dns1.name-services.com']",[''],[]
modernwelding.com,"['ns81.worldnic.com', 'ns82.worldnic.com']",[''],['modernwelding-com.mail.protection.outlook.com']
msbbcs.edu,"['ns7.dnsmadeeasy.com', 'ns5.slable.com', 'ns5.dnsmadeeasy.com', 'ns6.dnsmadeeasy.com']",['msbbcs.edu'],"['msbbcs-edu.p10.mxthunder.com', 'msbbcs-edu.p40.mxthunder.net', 'msbbcs-edu.p20.mxthunder.net', 'msbbcs-edu.p30.mxthunder.net']"
mttrainingcenter.org,"['ns1.vodadns.com', 'ns2.vodadns.com']",[''],['mttrainingcenter.org']
nccc.edu,"['ns2172.dns.dyn.com', 'ns1135.dns.dyn.com', 'ns4176.dns.dyn.com', 'ns3166.dns.dyn.com']",[''],"['nccc-edu.mail.protection.outlook.com', 'mx2.mailhop.org', 'mail1.nccc.edu']"
nptiflorida.edu,"['nile.ns.cloudflare.com', 'laura.ns.cloudflare.com']",['nptiflorida.edu'],"['_dc-mx.c2112fcc83ed.nptiflorida.edu', 'mxa.mailgun.org', 'mxb.mailgun.org']"
nv.edu,"['ns2.cen.ct.gov', 'ns1.cen.ct.gov']",['nv.edu'],['nv-edu.mail.protection.outlook.com']
ohiochristian.edu,"['clyde.ns.cloudflare.com', 'nadia.ns.cloudflare.com']",['ocuwww-endpoint-f4aadeapbaexfubn.z01.azurefd.net'],['ohiochristian-edu.mail.protection.outlook.com']
owu.edu,"['ns2.oar.net', 'mizar9.owu.edu', 'ns1.oar.net', 'alcor9.owu.edu']",[''],"['aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'aspmx3.googlemail.com', 'aspmx2.googlemail.com']"
pacificu.edu,"['b.ns.pacificu.edu', 'a.ns.pacificu.edu']",[''],"['alt2.aspmx.l.google.com', 'aspmx.l.google.com', 'alt4.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'alt3.aspmx.l.google.com']"
pillar.edu,"['destiny.ns.cloudflare.com', 'bowen.ns.cloudflare.com']",['proxy-ssl.webflow.com'],['pillar-edu.mail.protection.outlook.com']
pmi.edu,"['dns1.easydns.com', 'dns3.easydns.org', 'dns2.easydns.net', 'dns4.easydns.info']",['wp.wpenginepowered.com'],"['mxrelay1.pmi.edu', 'mxrelay2.pmi.edu']"
pupr.edu,"['ns3-37.azure-dns.org', 'ns4-37.azure-dns.info', 'ns1-37.azure-dns.com', 'ns2-37.azure-dns.net']",[''],['pupr-edu.mail.protection.outlook.com']
rainyriver.edu,[''],[''],[]
rctc.edu,"['ns2.roch.edu', 'ns1.roch.edu']",[''],['rctc-edu.mail.protection.outlook.com']
sandiego.edu,"['ns-1509.awsdns-60.org', 'ns-1664.awsdns-16.co.uk', 'ns-39.awsdns-04.com', 'ns-872.awsdns-45.net']",[''],"['alt4.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'aspmx.l.google.com', 'alt3.aspmx.l.google.com']"
sckans.edu,"['ns102.digicertdns.com', 'mound.sckans.edu', 'ns100.digicertdns.com', 'ns101.digicertdns.com', 'jinx.sckans.edu']",[''],['sckans-edu.mail.protection.outlook.com']
sf.edu,"['ns2-04.azure-dns.net', 'ns3-04.azure-dns.org', 'ns4-04.azure-dns.info', 'ns1-04.azure-dns.com']",['jjv8fvdrumfc.wpeproxy.com'],['sf-edu.mail.protection.outlook.com']
skinscienceinstitute.com,"['ns77.domaincontrol.com', 'ns78.domaincontrol.com']",[''],"['aspmx.l.google.com', 'aspmx2.googlemail.com', 'aspmx3.googlemail.com', 'alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com']"
slchc.edu,"['ns2.dns-parking.com', 'ns1.dns-parking.com']",['slchc.edu'],['slchc-edu.mail.protection.outlook.com']
smccme.edu,"['ns3-02.azure-dns.org', 'ns4-02.azure-dns.info', 'ns1-02.azure-dns.com', 'ns2-02.azure-dns.net']",[''],"['d345773a.ess.barracudanetworks.com', 'd345773b.ess.barracudanetworks.com']"
spelman.edu,['carver.spelman.edu'],[''],['spelman-edu.mail.protection.outlook.com']
sphp.com,"['ns1.trinity-health.org', 'ns2.trinity-health.org']",[''],"['mx1.hc2802-61.iphmx.com', 'mx2.hc2802-61.iphmx.com']"
sscc.edu,"['ns2.oar.net', 'ns1.oar.net']",['sscc.edu'],['sscc-edu.mail.protection.outlook.com']
strayer.edu,"['zod.ns.cloudflare.com', 'addilyn.ns.cloudflare.com']",[''],"['mxb-00353c01.gslb.pphosted.com', 'mxa-00353c01.gslb.pphosted.com']"
swmich.edu,"['duke.ns.cloudflare.com', 'angela.ns.cloudflare.com']",['swmichedu-lb01-production.terminalfour.net'],"['alt3.aspmx.l.google.com', 'alt4.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'aspmx.l.google.com']"
swosu.edu,"['ns3-34.azure-dns.org', 'ns4-34.azure-dns.info', 'ns1-34.azure-dns.com', 'ns2-34.azure-dns.net']",[''],['swosu-edu.mail.protection.outlook.com']
sws.edu,"['ns2.digitalocean.com', 'ns3.digitalocean.com', 'ns1.digitalocean.com']",[''],"['alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'aspmx2.googlemail.com', 'alt4.aspmx.l.google.com', 'aspmx.l.google.com', 'aspmx5.googlemail.com', 'aspmx3.googlemail.com', 'alt3.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'aspmx4.googlemail.com', 'aspmx.l.google.com']"
tooeletech.edu,"['dns4.p03.nsone.net', 'dns1.p03.nsone.net', 'dns2.p03.nsone.net', 'dns3.p03.nsone.net']",['tooeletech.edu'],"['mx-02-us-east-2.prod.hydra.sophos.com', 'mx-01-us-east-2.prod.hydra.sophos.com']"
trevecca.edu,"['ns3-05.azure-dns.org', 'ns4-05.azure-dns.info', 'ns1-05.azure-dns.com', 'ns2-05.azure-dns.net']",['467321.group21.sites.hubspot.net'],['trevecca-edu.mail.protection.outlook.com']
tricociuniversity.edu,"['reza.ns.cloudflare.com', 'mack.ns.cloudflare.com']",[''],"['aspmx2.googlemail.com', 'aspmx3.googlemail.com', 'aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com']"
tufuturovale.com,[''],[''],[]
ucr.edu,"['ns1.f5clouddns.com', 'ns2.f5clouddns.com']",[''],['mx.ucr.edu']
ultimatetouchbarbercollege1.com,"['dns1.namecheaphosting.com', 'dns2.namecheaphosting.com']",['ultimatetouchbarbercollege1.com'],['mail.ultimatetouchbarbercollege1.com']
und.edu,"['ns1.ndus.edu', 'ns2.ndus.edu', 'ns1.ext.ndus.edu', 'ns4.az.ndus.edu', 'ns2.ext.ndus.edu']",['und.edu'],['und-edu.mail.protection.outlook.com']
usao.edu,"['dns.onenet.net', 'terra.osrhe.edu']",['usao.edu'],['usao-edu.mail.protection.outlook.com']
vbc.edu,"['ns2.bluehost.com', 'ns1.bluehost.com']",['vbc.edu'],"['alt4.aspmx.l.google.com', 'aspmx.l.google.com', 'alt3.aspmx.l.google.com', 'alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com']"
washingtonbarbercollege.edu,"['ns4.bdm.microsoftonline.com', 'ns1.bdm.microsoftonline.com', 'ns2.bdm.microsoftonline.com', 'ns3.bdm.microsoftonline.com']",['sites.ludicrous.cloud'],['washingtonbarbercollege-edu.mail.protection.outlook.com']
winonah.net,"['ns1.winonah.net', 'ns2.winonah.net']",['winonah.net'],['winonah.net']
wiregrass.edu,"['ns4-01.azure-dns.info', 'ns1-01.azure-dns.com', 'ns2-01.azure-dns.net', 'ns3-01.azure-dns.org']",[''],"['mx1.hc3764-76.iphmx.com', 'wiregrass-edu.mail.protection.outlook.com', 'mx2.hc3764-76.iphmx.com']"
witcc.edu,"['pdns08.domaincontrol.com', 'pdns07.domaincontrol.com']",[''],"['ussf61.upstreamsecurity.net', 'ussf60.upstreamsecurity.net']"
woodbury.edu,"['ns3-08.azure-dns.org', 'ns4-08.azure-dns.info', 'ns1-08.azure-dns.com', 'ns2-08.azure-dns.net']",['114fkcf4dh23.wpeproxy.com'],"['mxb-002ef601.gslb.pphosted.com', 'mxa-002ef601.gslb.pphosted.com']"
www2.palomar.edu,[''],[''],[]
